Elapsed Seconds,CPU Usage (%),Memory Usage (%),Disk Usage (%)
442.04,75.2,2.8,44.9
443.04,74.4,2.8,44.9
444.04,74.8,2.8,44.9
445.04,71.9,2.8,44.9
446.04,75.0,2.8,44.9
447.04,74.1,2.8,44.9
448.04,74.5,2.8,44.9
449.04,74.7,2.8,44.9
450.04,74.8,2.8,44.9
451.04,74.5,2.8,44.9
452.04,74.0,2.8,44.9
453.04,75.2,2.8,44.9
454.04,74.6,2.8,44.9
455.04,75.1,2.8,44.9
456.04,75.4,2.8,44.9
457.04,74.6,2.8,44.9
458.04,74.7,2.8,44.9
459.04,74.9,2.8,44.9
460.04,75.1,2.8,44.9
461.04,74.2,2.8,44.9
462.04,74.5,2.8,44.9
463.04,74.9,2.8,44.9
464.04,75.5,2.8,44.9
465.04,74.4,2.8,44.9
466.04,75.0,2.8,44.9
467.04,74.2,2.8,44.9
468.04,75.3,2.8,44.9
469.04,74.2,2.8,44.9
470.04,75.3,2.8,44.9
471.04,75.4,2.8,44.9
472.04,74.4,2.8,44.9
473.04,74.9,2.8,44.9
474.04,74.7,2.8,44.9
475.04,75.0,2.8,44.9
476.04,74.6,2.8,44.9
477.04,75.2,2.8,44.9
478.04,74.9,2.8,44.9
479.04,75.0,2.8,44.9
480.04,63.8,2.8,44.9
481.04,75.1,2.8,44.9
482.04,75.2,2.8,44.9
483.04,74.1,2.8,44.9
484.04,75.1,2.8,44.9
485.04,74.6,2.8,44.9
486.04,75.0,2.8,44.9
487.04,74.9,2.8,44.9
488.04,74.3,2.8,44.9
489.04,74.1,2.8,44.9
490.04,74.3,2.8,44.9
491.04,75.3,2.8,44.9
492.04,74.7,2.8,44.9
493.04,74.5,2.8,44.9
494.04,74.9,2.8,44.9
495.04,73.8,2.8,44.9
496.04,75.0,2.8,44.9
497.04,74.4,2.8,44.9
498.04,75.1,2.8,44.9
499.04,75.2,2.8,44.9
500.04,74.8,2.8,44.9
501.04,74.7,2.8,44.9
502.04,74.9,2.8,44.9
503.04,75.2,2.8,44.9
504.04,74.3,2.8,44.9
505.04,75.2,2.8,44.9
506.04,75.1,2.8,44.9
507.04,74.4,2.8,44.9
508.04,74.6,2.8,44.9
509.04,74.6,2.8,44.9
510.04,74.6,2.8,44.9
511.04,75.4,2.8,44.9
512.04,74.6,2.8,44.9
513.04,74.3,2.8,44.9
514.04,74.7,2.8,44.9
515.04,74.9,2.8,44.9
516.04,74.1,2.8,44.9
517.04,74.9,2.8,44.9
518.04,74.7,2.8,44.9
519.04,74.8,2.8,44.9
520.04,75.4,2.8,44.9
521.04,74.8,2.8,44.9
522.04,75.2,2.8,44.9
523.05,75.1,2.8,44.9
524.05,75.3,2.8,44.9
525.05,74.5,2.8,44.9
526.05,74.7,2.8,44.9
527.05,75.2,2.8,44.9
528.05,75.1,2.8,44.9
529.05,75.0,2.8,44.9
530.05,74.8,2.8,44.9
531.05,74.8,2.8,44.9
532.05,75.1,2.8,44.9
533.05,74.6,2.8,44.9
534.05,75.4,2.8,44.9
535.05,74.2,2.8,44.9
536.05,75.5,2.8,44.9
537.05,74.7,2.8,44.9
538.05,74.5,2.8,44.9
539.05,74.7,2.8,44.9
540.05,74.9,2.8,44.9
541.05,74.8,2.8,44.9
542.05,74.8,2.8,44.9
543.05,74.8,2.8,44.9
544.05,74.7,2.8,44.9
545.05,74.8,2.8,44.9
546.05,74.9,2.8,44.9
547.05,74.6,2.8,44.9
548.05,74.8,2.8,44.9
549.05,74.7,2.8,44.9
550.05,75.2,2.8,44.9
551.05,74.6,2.8,44.9
552.05,75.0,2.8,44.9
553.05,74.8,2.8,44.9
554.05,74.9,2.8,44.9
555.05,74.9,2.8,44.9
556.05,67.4,2.8,44.9
557.05,75.3,2.8,44.9
558.05,75.0,2.8,44.9
559.05,74.5,2.8,44.9
560.05,74.7,2.8,44.9
561.05,73.2,2.8,44.9
562.05,74.5,2.8,44.9
563.05,74.3,2.8,44.9
564.05,75.4,2.8,44.9
565.05,74.8,2.8,44.9
566.05,74.8,2.8,44.9
567.05,74.7,2.8,44.9
568.05,74.8,2.8,44.9
569.05,74.6,2.8,44.9
570.05,74.2,2.8,44.9
571.05,75.0,2.8,44.9
572.05,75.2,2.8,44.9
573.05,71.1,2.8,44.9
574.05,70.8,2.8,44.9
575.05,74.4,2.8,44.9
576.05,75.2,2.8,44.9
577.05,74.8,2.8,44.9
578.05,74.8,2.8,44.9
579.05,74.7,2.8,44.9
580.05,75.1,2.8,44.9
581.05,75.1,2.8,44.9
582.05,74.6,2.8,44.9
583.05,75.1,2.8,44.9
584.05,74.6,2.8,44.9
585.05,74.6,2.8,44.9
586.05,74.2,2.8,44.9
587.05,74.9,2.8,44.9
588.05,74.8,2.8,44.9
589.05,74.9,2.8,44.9
590.05,75.1,2.8,44.9
591.05,75.0,2.8,44.9
592.05,75.3,2.8,44.9
593.05,75.1,2.8,44.9
594.05,74.6,2.8,44.9
595.05,74.7,2.8,44.9
596.05,74.1,2.8,44.9
597.05,75.0,2.8,44.9
598.05,74.0,2.8,44.9
599.05,74.3,2.8,44.9
600.05,75.0,2.8,44.9
601.05,75.1,2.8,44.9
602.05,75.2,2.8,44.9
603.05,74.1,2.8,44.9
604.05,75.4,2.8,44.9
605.05,73.7,2.8,44.9
606.05,75.2,2.8,44.9
607.05,74.3,2.8,44.9
608.05,75.0,2.8,44.9
609.05,75.0,2.8,44.9
610.05,73.7,2.8,44.9
611.05,75.2,2.8,44.9
612.05,74.2,2.8,44.9
613.05,59.3,2.8,44.9
